Pressure (mmHg),pressure_std,Mean Channel,channel_std,Total Counts,counts_std,Trial Lenght (s)
50.8,0.1009,948.0836466165414,6.118316166824448,1064,32.61901286060018,45
115.7,0.02262,888.9387755102041,7.587464910487197,1029,32.07802986469088,45
187.5,0.09557,820.6373106060606,7.481042325927033,1056,32.49615361854384,45
250.5,0.08302,756.7273603082851,8.123198953621667,1038,32.218007387174026,45
259.4,0.1052,747.4598214285714,8.618304438616896,672,25.92296279363144,45
260.6,0.09805,746.4262607040913,8.361426271321141,1051,32.41913015489465,45
270.7,0.06817,735.4836956521739,8.603994402339437,1104,33.2264954516723,45
318.0,0.07784,684.4375624375624,8.922260975304198,1001,31.63858403911275,45
360.8,0.06359,640.0081154192967,9.421735272583406,1109,33.301651610693426,45
399.7,0.07074,588.5521531100478,10.113632263686181,1045,32.32645975048923,45
410.8,0.04465,580.6214740673339,10.459790560678467,1099,33.15116890850155,45
419.2,0.06941,564.6106271777004,11.082166605850086,1148,33.88214869219483,45
422.7,0.07507,559.8211227402473,10.587516259598209,1051,32.41913015489465,45
438.2,0.02522,546.9894736842106,10.420300586657428,1045,32.32645975048923,45
502.4,0.05223,453.99514563106794,12.197842230324138,1030,32.09361307176243,45
560.6,0.04147,364.6212259835316,13.420471163689726,1093,33.06055050963308,45
633.5,0.1,230.9529633113829,16.946533379149262,1063,32.60368077380221,45
658.8,0.02626,172.57953394123606,18.34252804113519,987,31.416556144810016,45
660.0,0.01829,169.39012096774192,20.993951298276347,992,31.496031496047245,45
688.9,0.02262,99.56748466257669,19.6894614876354,978,31.272991542223778,45
698.4,0.01999,81.19806243272336,16.497889629609087,929,30.479501308256342,45
709.3,0.004504,64.89563567362428,10.728604759230812,527,22.956480566497994,45
716.4,0.01178,59.4,7.450810443917255,295,17.175564037317667,45
718.7,0.01774,57.69718309859155,6.133479398339509,142,11.916375287812984,45
727.8,0.01782,52.0,1.0,6,2.449489742783178,45
749.4,0.03794,0,0,0,0.0,45
782.3,0.1,0,0,0,0.0,45
